Date,CRSPTMT,VTSMX,DWCF,SWTSX,STOXX50E,FEZ,^FTSE,VE.TO
11/14/2016,150,250,"1,050.00",560,"1,500.00","2,350.00","1,800.00",865
11/13/2016,149.7680234,249.6081559,"1,048.36",559.108053,"1,504.36","2,356.79","1,805.17",867.4638653
11/12/2016,149.7851704,249.6469348,"1,048.50",559.208888,"1,502.11","2,353.36","1,802.58",866.2417246
11/11/2016,150.2319126,250.3889147,"1,051.65",560.8715594,"1,501.35","2,352.15","1,801.68",865.808674
11/10/2016,150.1423505,250.2487436,"1,051.04",560.5727674,"1,502.83","2,354.55","1,803.56",866.7330557
11/9/2016,150.2493626,250.434245,"1,051.80",561.0132839,"1,504.31","2,356.93","1,805.39",867.6544527
11/8/2016,150.3968254,250.6795636,"1,052.87",561.5474513,"1,504.51","2,357.24","1,805.70",867.7773743
11/7/2016,150.5382716,250.9171033,"1,053.90",562.079627,"1,504.70","2,357.55","1,806.01",867.9287521
11/6/2016,150.5423978,250.9234415,"1,053.95",562.1008536,"1,504.96","2,357.95","1,806.34",868.0986204
11/5/2016,150.6166311,251.0489098,"1,054.50",562.3799315,"1,509.75","2,365.47","1,812.17",870.8963998
11/4/2016,150.679777,251.1624405,"1,054.95",562.6597,"1,508.03","2,362.85","1,810.18",869.9767404
11/3/2016,151.0185579,251.7253221,"1,057.34",563.9349914,"1,507.74","2,362.39","1,809.85",869.8415092
11/2/2016,151.0736925,251.8235327,"1,057.73",564.1571544,"1,506.21","2,360.05","1,808.07",868.989126
11/1/2016,151.3959196,252.3688242,"1,059.98",565.3891443,"1,507.84","2,362.67","1,810.07",869.966351
10/31/2016,151.3034638,252.2226206,"1,059.38",565.0643718,"1,509.74","2,365.74","1,812.50",871.1385786
10/30/2016,151.3549481,252.3224523,"1,059.81",565.2769059,"1,509.48","2,365.45","1,812.40",871.074638
10/29/2016,151.4722439,252.5335435,"1,060.65",565.7691647,"1,513.07","2,371.23","1,816.86",873.246502
10/28/2016,151.9056216,253.2526583,"1,063.70",567.38622,"1,514.60","2,373.59","1,818.68",874.1313583
10/27/2016,152.0070275,253.4216191,"1,064.41",567.7599789,"1,517.06","2,377.44","1,821.63",875.5439318
10/26/2016,152.2009092,253.7442251,"1,065.77",568.5029401,"1,516.37","2,376.35","1,820.81",875.1805675
10/25/2016,152.0266751,253.4590387,"1,064.57",567.873874,"1,518.68","2,380.03","1,823.65",876.5597143
10/24/2016,152.1417011,253.6650869,"1,065.39",568.3494917,"1,522.10","2,385.52","1,827.89",878.6168218
10/23/2016,152.1601514,253.6981841,"1,065.55",568.4383853,"1,524.21","2,388.86","1,830.50",879.8958983
10/22/2016,152.0956892,253.5911929,"1,065.13",568.2300086,"1,524.61","2,389.48","1,831.03",880.1985738
10/21/2016,152.2074973,253.7870748,"1,065.93",568.6628458,"1,525.64","2,391.19","1,832.37",880.8331811
10/20/2016,152.2696118,253.8955958,"1,066.40",568.911974,"1,527.36","2,393.93","1,834.53",881.8806669
10/19/2016,152.1933385,253.7786861,"1,065.87",568.6674119,"1,533.61","2,403.82","1,842.11",885.5533717
10/18/2016,152.3663308,254.0767023,"1,067.09",569.349802,"1,534.30","2,405.00","1,843.03",886.0165141
10/17/2016,152.4268816,254.1708574,"1,067.51",569.5678153,"1,533.52","2,403.71","1,842.04",885.5547256
10/16/2016,152.6283891,254.507302,"1,068.89",570.3562947,"1,530.99","2,399.74","1,838.94",884.1180195
10/15/2016,152.5664879,254.3952886,"1,068.46",570.111362,"1,531.92","2,401.11","1,840.00",884.6350871
10/14/2016,152.6268319,254.5048655,"1,068.90",570.3555853,"1,537.44","2,409.85","1,846.73",887.8684528
10/13/2016,152.777162,254.7622328,"1,069.99",570.9443094,"1,542.03","2,417.11","1,852.35",890.5884572
10/12/2016,152.8769789,254.9355489,"1,070.69",571.3694735,"1,539.93","2,413.89","1,849.88",889.4610216
10/11/2016,152.9076517,254.991852,"1,070.94",571.5063603,"1,541.03","2,415.66","1,851.31",890.164224
10/10/2016,152.9804528,255.1231715,"1,071.49",571.7763822,"1,541.86","2,417.06","1,852.44",890.6706458
10/9/2016,153.0166647,255.193797,"1,071.73",571.9483561,"1,543.81","2,420.21","1,854.84",891.8419022
10/8/2016,152.9650319,255.1160591,"1,071.39",571.798753,"1,545.70","2,423.25","1,857.21",893.0203472
10/7/2016,153.2275167,255.5551332,"1,073.25",572.8105081,"1,546.28","2,424.17","1,857.96",893.4261008
10/6/2016,153.2564754,255.6134835,"1,073.46",572.9266461,"1,550.93","2,431.57","1,863.63",896.1312152
10/5/2016,153.2400479,255.5786027,"1,073.38",572.8460648,"1,552.65","2,434.18","1,865.70",897.1196186
10/4/2016,153.2274731,255.5628531,"1,073.29",572.8350254,"1,555.11","2,438.08","1,868.68",898.5930178
10/3/2016,153.3206111,255.7257118,"1,073.97",573.1945814,"1,556.70","2,440.66","1,870.70",899.5539024
10/2/2016,153.524513,256.0634155,"1,075.42",573.9448051,"1,559.47","2,444.98","1,874.06",901.1583509
10/1/2016,153.6044603,256.1956415,"1,076.02",574.2540419,"1,563.03","2,450.54","1,878.39",903.2604964
9/30/2016,153.7826072,256.5022315,"1,077.30",574.9624186,"1,561.93","2,448.91","1,877.19",902.7177296
9/29/2016,153.9010215,256.7073373,"1,078.12",575.4182124,"1,564.33","2,452.74","1,880.11",904.1169977
9/28/2016,153.7198403,256.4061939,"1,076.84",574.7307117,"1,564.71","2,453.35","1,880.55",904.3094206
9/27/2016,153.7859315,256.5185811,"1,077.29",575.0044818,"1,563.86","2,452.04","1,879.54",903.8552159
9/26/2016,153.6324805,256.2643464,"1,076.21",574.4269247,"1,563.40","2,451.34","1,878.99",903.5801154
9/25/2016,153.6383571,256.2833972,"1,076.24",574.4795735,"1,568.58","2,459.55","1,885.27",906.6160819
9/24/2016,153.7633241,256.4969511,"1,077.14",574.9530499,"1,569.01","2,460.27","1,885.87",906.8939303
9/23/2016,153.8307678,256.6131905,"1,077.65",575.2282005,"1,568.97","2,460.24","1,885.89",906.9310761
9/22/2016,153.8308534,256.6122126,"1,077.68",575.2475673,"1,570.55","2,462.72","1,887.85",907.9065724
9/21/2016,153.919733,256.756983,"1,078.34",575.5768626,"1,574.33","2,468.60","1,892.42",910.1112082
9/20/2016,154.0524094,256.9871935,"1,079.26",576.089634,"1,577.33","2,473.40","1,896.09",911.8690374
9/19/2016,154.1222919,257.1056882,"1,079.76",576.3641316,"1,581.24","2,479.54","1,900.81",914.1560065
9/18/2016,153.9455936,256.8102883,"1,078.54",575.6957531,"1,580.88","2,478.97","1,900.41",913.9518116
9/17/2016,154.0492887,256.9956785,"1,079.31",576.1259632,"1,581.71","2,480.39","1,901.56",914.5302147
